wall up,wall right,wall down,wall left,apple up,apple right,apple down,apple left,distance x,distance y,direction
208,388,192,412,0,0,0,0,-292,160,1.0
208,384,192,416,0,0,0,0,-288,160,1.0
208,380,192,420,0,0,0,0,-284,160,1.0
208,376,192,424,0,0,0,0,-280,160,1.0
208,372,192,428,0,0,0,0,-276,160,1.0
208,368,192,432,0,0,0,0,-272,160,1.0
208,364,192,436,0,0,0,0,-268,160,1.0
208,360,192,440,0,0,0,0,-264,160,1.0
208,356,192,444,0,0,0,0,-260,160,1.0
208,352,192,448,0,0,0,0,-256,160,1.0
208,348,192,452,0,0,0,0,-252,160,1.0
208,344,192,456,0,0,0,0,-248,160,1.0
208,340,192,460,0,0,0,0,-244,160,1.0
208,336,192,464,0,0,0,0,-240,160,1.0
208,332,192,468,0,0,0,0,-236,160,1.0
208,328,192,472,0,0,0,0,-232,160,1.0
208,324,192,476,0,0,0,0,-228,160,1.0
208,320,192,480,0,0,0,0,-224,160,1.0
208,316,192,484,0,0,0,0,-220,160,1.0
208,312,192,488,0,0,0,0,-216,160,1.0
208,308,192,492,0,0,0,0,-212,160,1.0
208,304,192,496,0,0,0,0,-208,160,1.0
208,300,192,500,0,0,0,0,-204,160,1.0
208,296,192,504,0,0,0,0,-200,160,1.0
208,292,192,508,0,0,0,0,-196,160,1.0
208,288,192,512,0,0,0,0,-192,160,1.0
208,284,192,516,0,0,0,0,-188,160,1.0
208,280,192,520,0,0,0,0,-184,160,1.0
208,276,192,524,0,0,0,0,-180,160,1.0
208,272,192,528,0,0,0,0,-176,160,1.0
208,268,192,532,0,0,0,0,-172,160,1.0
208,264,192,536,0,0,0,0,-168,160,1.0
208,260,192,540,0,0,0,0,-164,160,1.0
208,256,192,544,0,0,0,0,-160,160,1.0
208,252,192,548,0,0,0,0,-156,160,1.0
208,248,192,552,0,0,0,0,-152,160,1.0
208,244,192,556,0,0,0,0,-148,160,1.0
208,240,192,560,0,0,0,0,-144,160,1.0
208,236,192,564,0,0,0,0,-140,160,1.0
208,232,192,568,0,0,0,0,-136,160,1.0
208,228,192,572,0,0,0,0,-132,160,1.0
208,224,192,576,0,0,0,0,-128,160,1.0
208,220,192,580,0,0,0,0,-124,160,1.0
208,216,192,584,0,0,0,0,-120,160,1.0
208,212,192,588,0,0,0,0,-116,160,1.0
208,208,192,592,0,0,0,0,-112,160,1.0
208,204,192,596,0,0,0,0,-108,160,1.0
208,200,192,600,0,0,0,0,-104,160,1.0
208,196,192,604,0,0,0,0,-100,160,1.0
208,192,192,608,0,0,0,0,-96,160,1.0
208,188,192,612,0,0,0,0,-92,160,1.0
208,184,192,616,0,0,0,0,-88,160,1.0
208,180,192,620,0,0,0,0,-84,160,1.0
208,176,192,624,0,0,0,0,-80,160,1.0
208,172,192,628,0,0,0,0,-76,160,1.0
208,168,192,632,0,0,0,0,-72,160,1.0
208,164,192,636,0,0,0,0,-68,160,1.0
208,160,192,640,0,0,0,0,-64,160,1.0
208,156,192,644,0,0,0,0,-60,160,1.0
208,152,192,648,0,0,0,0,-56,160,1.0
208,148,192,652,0,0,0,0,-52,160,1.0
208,144,192,656,0,0,0,0,-48,160,1.0
208,140,192,660,0,0,0,0,-44,160,1.0
208,136,192,664,0,0,0,0,-40,160,1.0
208,132,192,668,0,0,0,0,-36,160,1.0
208,128,192,672,0,0,0,0,-32,160,1.0
208,124,192,676,0,0,0,0,-28,160,1.0
208,120,192,680,0,0,0,0,-24,160,1.0
208,116,192,684,0,0,0,0,-20,160,1.0
208,112,192,688,0,0,0,0,-16,160,1.0
208,108,192,692,0,0,0,0,-12,160,1.0
208,104,192,696,0,0,0,0,-8,160,1.0
208,100,192,700,0,0,0,0,-4,160,1.0
208,96,192,704,0,0,1,0,0,160,1.0
212,96,188,704,0,0,1,0,0,156,2.0
216,96,184,704,0,0,1,0,0,152,2.0
220,96,180,704,0,0,1,0,0,148,2.0
224,96,176,704,0,0,1,0,0,144,2.0
228,96,172,704,0,0,1,0,0,140,2.0
232,96,168,704,0,0,1,0,0,136,2.0
236,96,164,704,0,0,1,0,0,132,2.0
240,96,160,704,0,0,1,0,0,128,2.0
244,96,156,704,0,0,1,0,0,124,2.0
248,96,152,704,0,0,1,0,0,120,2.0
252,96,148,704,0,0,1,0,0,116,2.0
256,96,144,704,0,0,1,0,0,112,2.0
260,96,140,704,0,0,1,0,0,108,2.0
264,96,136,704,0,0,1,0,0,104,2.0
268,96,132,704,0,0,1,0,0,100,2.0
272,96,128,704,0,0,1,0,0,96,2.0
276,96,124,704,0,0,1,0,0,92,2.0
280,96,120,704,0,0,1,0,0,88,2.0
284,96,116,704,0,0,1,0,0,84,2.0
288,96,112,704,0,0,1,0,0,80,2.0
292,96,108,704,0,0,1,0,0,76,2.0
296,96,104,704,0,0,1,0,0,72,2.0
300,96,100,704,0,0,1,0,0,68,2.0
304,96,96,704,0,0,1,0,0,64,2.0
308,96,92,704,0,0,1,0,0,60,2.0
312,96,88,704,0,0,1,0,0,56,2.0
316,96,84,704,0,0,1,0,0,52,2.0
320,96,80,704,0,0,1,0,0,48,2.0
324,96,76,704,0,0,1,0,0,44,2.0
328,96,72,704,0,0,1,0,0,40,2.0
332,96,68,704,0,0,1,0,0,36,2.0
336,96,64,704,0,0,1,0,0,32,2.0
340,96,60,704,0,0,1,0,0,28,2.0
344,96,56,704,0,0,1,0,0,24,2.0
348,96,52,704,0,0,1,0,0,20,2.0
352,96,48,704,0,0,1,0,0,16,2.0
356,96,44,704,0,0,0,0,48,-156,2.0
352,96,48,704,0,0,0,0,48,-152,0.0
348,96,52,704,0,0,0,0,48,-148,0.0
344,96,56,704,0,0,0,0,48,-144,0.0
340,96,60,704,0,0,0,0,48,-140,0.0
336,96,64,704,0,0,0,0,48,-136,0.0
332,96,68,704,0,0,0,0,48,-132,0.0
328,96,72,704,0,0,0,0,48,-128,0.0
324,96,76,704,0,0,0,0,48,-124,0.0
320,96,80,704,0,0,0,0,48,-120,0.0
316,96,84,704,0,0,0,0,48,-116,0.0
312,96,88,704,0,0,0,0,48,-112,0.0
308,96,92,704,0,0,0,0,48,-108,0.0
304,96,96,704,0,0,0,0,48,-104,0.0
300,96,100,704,0,0,0,0,48,-100,0.0
296,96,104,704,0,0,0,0,48,-96,0.0
292,96,108,704,0,0,0,0,48,-92,0.0
288,96,112,704,0,0,0,0,48,-88,0.0
284,96,116,704,0,0,0,0,48,-84,0.0
280,96,120,704,0,0,0,0,48,-80,0.0
276,96,124,704,0,0,0,0,48,-76,0.0
272,96,128,704,0,0,0,0,48,-72,0.0
268,96,132,704,0,0,0,0,48,-68,0.0
264,96,136,704,0,0,0,0,48,-64,0.0
260,96,140,704,0,0,0,0,48,-60,0.0
256,96,144,704,0,0,0,0,48,-56,0.0
252,96,148,704,0,0,0,0,48,-52,0.0
248,96,152,704,0,0,0,0,48,-48,0.0
244,96,156,704,0,0,0,0,48,-44,0.0
240,96,160,704,0,0,0,0,48,-40,0.0
236,96,164,704,0,0,0,0,48,-36,0.0
232,96,168,704,0,0,0,0,48,-32,0.0
228,96,172,704,0,0,0,0,48,-28,0.0
224,96,176,704,0,0,0,0,48,-24,0.0
